Ingles,Español
American,Estadounidense
Australian,Australiana
Austrian,Austríaca
Belgian,Belga
Brazilian,Brasileña
British,Británica
Canadian,Canadiense
Dutch,Neerlandesa
East German,Alemana del Este
French,Francesa
German,Alemana
Hong Kong,Hong Kong
Indian,India
Irish,Irlandesa
Italian,Italiana
Japanese,Japonesa
Malaysian,Malasia
Mexican,Mexicana
New Zealander,Neozelandesa
Rhodesian,Rhodesiana
Russian,Rusa
South African,Sudafricana
Spanish,Española
Swiss,Suiza
